Year,Month,Number
2010,January,15046
2010,February,15113
2010,March,15202
2010,April,15325
2010,May,14849
2010,June,14474
2010,July,14512
2010,August,14648
2010,September,14579
2010,October,14516
2010,November,15081
2010,December,14348
2011,January,14013
2011,February,13820
2011,March,13737
2011,April,13957
2011,May,13855
2011,June,13962
2011,July,13763
2011,August,13818
2011,September,13948
2011,October,13594
2011,November,13302
2011,December,13093
2012,January,12797
2012,February,12813
2012,March,12713
2012,April,12646
2012,May,12660
2012,June,12692
2012,July,12656
2012,August,12471
2012,September,12115
2012,October,12124
2012,November,12005
2012,December,12298
2013,January,12471
2013,February,11950
2013,March,11689
2013,April,11760
2013,May,11654
2013,June,11751
2013,July,11335
2013,August,11279
2013,September,11270
2013,October,11136
2013,November,10787
2013,December,10404
2014,January,10202
2014,February,10349
2014,March,10380
2014,April,9702
2014,May,9859
2014,June,9460
2014,July,9608
2014,August,9599
2014,September,9262
2014,October,8990
2014,November,9090
2014,December,8717
2015,January,8885
2015,February,8599
2015,March,8515
2015,April,8550
2015,May,8834
2015,June,8247
2015,July,8167
2015,August,7992
2015,September,7907
2015,October,7922
2015,November,8000
2015,December,7907
2016,January,7721
2016,February,7746
2016,March,7945
2016,April,7975
2016,May,7668
2016,June,7786
2016,July,7658
2016,August,7809
2016,September,7967
2016,October,7827
2016,November,7488
2016,December,7495
2017,January,7518
2017,February,7399
2017,March,7088
2017,April,7085
2017,May,7059
2017,June,6933
2017,July,6867
2017,August,7097
2017,September,6841
2017,October,6599
2017,November,6697
2017,December,6561
2018,January,6582
2018,February,6641
2018,March,6493
2018,April,6418
2018,May,6209
2018,June,6519
2018,July,6180
2018,August,6167
2018,September,6045
2018,October,6123
2018,November,6034
2018,December,6286
2019,January,6516
2019,February,6181
2019,March,6194
2019,April,5850
2019,May,5938
2019,June,5985
2019,July,6027
2019,August,5999
2019,September,5753
2019,October,5857
2019,November,5811
2019,December,5753
2020,January,5892
2020,February,5787
2020,March,7140